Para. #,Sent. #,Subject,Verbs,Remaining, Category 1, Category 2, Category 3, Category 4, Category 5, Category 6, Category 7 
1,1,GDGPS ,is driven set developed possessing ,System by a powerful software  completely in-house at JPL  and many unique features and capabilities  ,6 + 6 + 2 + 8 = 22, 0 + 5 + 4 + 3 = 12, 5 + 4 + 1 + 9 = 19, 4 + 1 + 1 + 2 = 8, 4 + 3 + 9 + 7 = 23, 5 + 3 + 8 + 4 = 20, 7 + 3 + 2 + 5 = 17, 
1,2,C++ ,was developed evolved ,software and from one of the world 's leading GPS data processing and analysis software packages  JPL 's GIPSY-OASIS and its real-time version RTG ( Real Time GIPSY )  ,4 + 2 = 6, 1 + 4 = 5, 2 + 1 = 3, 9 + 1 = 10, 6 + 9 = 15, 2 + 8 = 10, 6 + 2 = 8, 
2,1,system ,be automated ,shall completely  with end-to-end automatic operations  ,7 = 7, 5 = 5, 8 = 8, 1 = 1, 9 = 9, 7 = 7, 8 = 8, 
2,2,Complete ,,positioning system  , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
2,3,software ,handles including ,all aspects of a complete real time global positioning system  GNSS orbit determination and simultaneous network positioning  ,7 = 7, 6 = 6, 1 = 1, 6 = 6, 5 = 5, 3 = 3, 3 = 3, 
2,4,software ,performs ,user positioning and orbit determination  ,3 = 3, 6 = 6, 3 = 3, 1 = 1, 5 = 5, 1 = 1, 6 = 6, 
2,5,system ,supports ,real-time applications as well as post-processing applications  ,2 = 2, 4 = 4, 9 = 9, 7 = 7, 7 = 7, 2 = 2, 8 = 8, 
2,6,Simulations ,,capability  , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
2,7,Highly ,,portable  , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
2,8,software ,is tested ,regularly on multiple flavors of Linux  ,0 + 8 = 8, 3 + 3 = 6, 3 + 9 = 12, 7 + 2 = 9, 2 + 7 = 9, 1 + 4 = 5, 7 + 5 = 12, 
2,9,modules ,positioning have been ported including ,to several embedded real-time environments  flight receivers  ,7 + 2 + 6 = 15, 8 + 4 + 7 = 19, 5 + 9 + 6 = 20, 2 + 7 + 5 = 14, 1 + 7 + 9 = 17, 1 + 2 + 3 = 6, 7 + 8 + 6 = 21, 
2,10,Versatile ,, , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
2,11,system ,works ,with many types of popular geodetic receivers  ,3 = 3, 7 = 7, 3 = 3, 8 = 8, 6 = 6, 3 = 3, 5 = 5, 
2,12,adaptation ,makes accommodate ,layer it easy to new receiver types  ,8 = 8, 8 = 8, 7 = 7, 3 = 3, 1 = 1, 1 = 1, 2 = 2, 
3,1,system ,be developed ,shall with Object Oriented C++ and Python for portability and maintainability  ,7 + 2 = 9, 5 + 4 = 9, 8 + 1 = 9, 1 + 1 = 2, 9 + 9 = 18, 7 + 8 = 15, 8 + 2 = 10, 
3,2,Modularity ,, , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
3,3,Highly ,be developed support embedded ,modular code will to as well as ground applications  ,7 + 2 + 2 = 11, 5 + 4 + 4 = 13, 8 + 1 + 9 = 18, 1 + 1 + 7 = 9, 9 + 9 + 7 = 25, 7 + 8 + 2 = 17, 8 + 2 + 8 = 18, 
3,4,Reliability ,, , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
3,5,track ,be ,record of continuous operations  ,7 = 7, 5 = 5, 8 = 8, 1 = 1, 9 = 9, 7 = 7, 8 = 8, 
3,6,Accuracy ,, , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
3,7,models ,are ,sub-cm accurate for the most demanding science applications  , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
4,1,architecture ,Parallelized enables ,( MPI ) real-time solutions to massive estimation problems  ,9 = 9, 6 = 6, 4 = 4, 2 = 2, 1 = 1, 7 = 7, 5 = 5, 
4,2,architecture ,seamless ,guarantees global uniformity of the differential corrections  , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
4,3,use ,achieve ,of the internet to robustness through redundancy  ,0 = 0, 2 = 2, 2 = 2, 3 = 3, 6 = 6, 5 = 5, 7 = 7, 
4,4,Unique ,developed ,satellite dynamics and signal models in house at JPL  ,2 = 2, 4 = 4, 1 = 1, 1 = 1, 9 = 9, 8 = 8, 2 = 2, 
4,5,system ,include ,shall efficient GNSS data compression  , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
4,6,system ,developed provides ,for end-to-end redundant operations high reliability  ,2 = 2, 4 = 4, 1 = 1, 1 = 1, 9 = 9, 8 = 8, 2 = 2, 
4,7,filter ,allows have ,design any parameter to stochastic attributes  , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
4,8,system ,be adding ,shall Capable of satellites/receivers on the fly  ,8 + 7 + 9 + 3 = 27, 8 + 5 + 3 + 2 = 18, 0 + 8 + 5 + 1 = 14, 4 + 1 + 6 + 0 = 11, 2 + 9 + 2 + 8 = 21, 8 + 7 + 4 + 9 = 28, 7 + 8 + 3 + 5 = 23, 
4,9,Unique ,supports modeling ,dynamics integrator very high orbit accuracy  ,4 + 2 = 6, 6 + 4 = 10, 8 + 9 = 17, 2 + 7 = 9, 4 + 7 = 11, 8 + 2 = 10, 5 + 8 = 13, 
4,10,delay ,designed ,model and stochastic estimation capability for users or reference sites  ,5 = 5, 1 = 1, 3 = 3, 9 = 9, 7 = 7, 3 = 3, 5 = 5, 
4,11,system ,exploit ,shall full information content of phase data  ,7 = 7, 4 = 4, 3 = 3, 5 = 5, 5 = 5, 6 = 6, 1 = 1, 
4,12,system ,provide ,shall real time playback  , = 0,  = 0,  = 0,  = 0,  = 0,  = 0,  = 0, 
4,13,Software ,be protected ,will by multiple US and non-US patents ,7 + 3 = 10, 5 + 5 = 10, 8 + 7 = 15, 1 + 3 = 4, 9 + 8 = 17, 7 + 4 = 11, 8 + 7 = 15, 
